,relativity,se_log,relativity_se,p
state[T.QC],0.44525560188511293,0.12263481201401813,0.05460383703536932,4.1760637551766083e-11
state[T.QE],1.4387563701875167e-11,61680.68976822485,8.874348532159349e-07,0.9996770640236243
state[T.RI],0.6715285005572467,0.11711454624967803,0.0786457556364886,0.0006736615212492628
state[T.SC],0.923876631810166,0.04510336070557165,0.04166994097198253,0.0791822255546845
state[T.SD],0.5600056363138292,0.08719749598041347,0.048831089221484006,2.943498166320913e-11
state[T.SI],1.390683333628659e-11,59109.58737976755,8.220271802670965e-07,0.9996625584813444
state[T.SK],0.4042366589509842,0.2988169477213334,0.12079276458480272,0.0024363554873941488
state[T.SL],1.609818090180536e-11,65814.97888619234,1.0595014361584245e-06,0.9996987117799987
state[T.SO],0.05404453367796374,0.5926370775002726,0.03202879449377349,8.493787308609378e-07
state[T.SV],1.2012114087580022e-11,361880.2520855437,4.346946874093769e-06,0.9999445593084979
state[T.TA],0.11732489570760943,0.15541068789011372,0.01823354274855543,3.0083514943494393e-43
state[T.TB],1.593706428551791e-11,175437.03862984228,2.795951362704685e-06,0.999886926363129
state[T.TL],4.0696288665775155e-11,235392.77945062978,9.579612502361975e-06,0.9999189044976401
state[T.TN],0.9307590444188619,0.0423994691338589,0.03946368937489754,0.09057877727335266
state[T.TX],1.053078546886441,0.022708125363959282,0.023913439660793373,0.022756205255192827
state[T.UT],0.7293841638979143,0.06244125854543585,0.04554366515689622,4.335021239730737e-07
state[T.VA],1.115211454681242,0.03874001001691775,0.043203302925332726,0.004881288243152862
state[T.VC],1.429403705105069e-11,65062.7237921883,9.300089845278168e-07,0.9996937706222012
state[T.VI],2.2495890046010573e-11,207744.24656685616,4.673391728459306e-06,0.9999058347685241
state[T.VT],0.4504062399868672,0.16670217637472734,0.0750837004585685,1.7131736262345517e-06
state[T.WA],0.8388414701538216,0.03933757890210512,0.03299799251853381,7.920571613328397e-06
state[T.WI],0.7976834277972733,0.04898422953142755,0.03907390812063755,3.938205280708725e-06
state[T.WV],0.683366254138001,0.10145397125264408,0.06933022030234381,0.00017495391119830463
state[T.WY],0.5261895011799564,0.10843692967125272,0.05705837393320249,3.192942625202258e-09
state[T.YT],1.935284540687836e-11,127429.96531935834,2.4661324190294128e-06,0.9998455436983319
state[T.ZA],1.771274528884122e-11,197521.66761217432,3.4986509874416026e-06,0.9998999956908724
